trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
856,False,"{'a': 0.5, 'e': 0.9097976727930226}",20,8,-8.507531289547591,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
857,False,"{'a': 0.5, 'e': 0.9095900330577625}",20,0,-108.48341323715255,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
858,False,"{'a': 0.5, 'e': 0.9093821659249989}",25,0,-38.85920540136933,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
859,False,"{'a': 0.5, 'e': 0.9091740714466986}",25,0,-172.85306420273642,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
860,False,"{'a': 0.5, 'e': 0.9089657496748851}",25,16,-19.53292825068037,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
861,False,"{'a': 0.5, 'e': 0.908757200661639}",25,0,-215.0148529822484,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
862,False,"{'a': 0.5, 'e': 0.9085484244590974}",20,1,-21.39750235897001,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
863,False,"{'a': 0.5, 'e': 0.9083394211194544}",30,0,-251.9411351522515,"{0: 13, 1: 5, 2: 6, 3: 3, 4: 3}",0
864,False,"{'a': 0.5, 'e': 0.9081301906949609}",20,3,-77.26108695726863,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
865,False,"{'a': 0.5, 'e': 0.9079207332379245}",25,0,-88.38949685222741,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
866,False,"{'a': 0.5, 'e': 0.9077110488007095}",20,0,-136.0679077304701,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
867,False,"{'a': 0.5, 'e': 0.907501137435737}",20,0,-86.73477099036711,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
868,False,"{'a': 0.5, 'e': 0.9072909991954848}",20,6,-78.23420557988965,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
869,False,"{'a': 0.5, 'e': 0.9070806341324876}",20,0,-53.08147760554227,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
870,False,"{'a': 0.5, 'e': 0.9068700422993367}",20,9,-62.02708874002031,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
871,False,"{'a': 0.5, 'e': 0.9066592237486798}",25,0,-179.70798306341442,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
872,False,"{'a': 0.5, 'e': 0.9064481785332217}",20,3,-43.119747123056406,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
873,False,"{'a': 0.5, 'e': 0.9062369067057237}",25,0,-114.77784038572469,"{0: 10, 1: 7, 2: 6, 3: 2, 4: 0}",0
874,False,"{'a': 0.5, 'e': 0.9060254083190037}",20,0,-106.40803273701438,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
875,False,"{'a': 0.5, 'e': 0.9058136834259364}",20,0,-98.29026428129217,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
